Site Id,School Name,Site Name,Protocol,Data Count,Latitude,Longitude,Elevation
4976,1st Gymnasium of Preveza,KYANI AKTI:LCS-01,{dv_land_coversdv_vegatation_covers},3.0,38.95,20.75,15.0
4975,1st Gymnasium of Preveza,School Location:BIO-01,{dv_land_coversdv_vegatation_covers},3.0,38.9533,20.752,15.0
4922,2nd Gymnasium of Agia Paraskevi,School Location:BIO-01,{dv_land_coversdv_vegatation_covers},2.0,38.003,23.8245,210.0
103579,Abu baker alsedik basic school,A l Dhohory farmer,{dv_land_coversdv_vegatation_covers},4.0,26.11155,56.15201,8.0
186983,Abu baker alsedik basic school,al filitty farmer3,{dv_land_coversdv_vegatation_covers},2.0,26.11446,56.1457,3.0
104816,Abu baker alsedik basic school,Alflity farmer,{dv_land_coversdv_vegatation_covers},4.0,26.11304,56.14493,3.0
186256,Abu baker alsedik basic school,Alflity farmer2,{dv_land_coversdv_vegatation_covers},2.0,26.11204,56.13493,4.0
105033,Abu baker alsedik basic school,Al Hager farmer,{dv_land_coversdv_vegatation_covers},3.0,26.1136,56.14321,3.0
106728,Abu baker alsedik basic school,AL KHALDIA 2,{dv_land_coversdv_vegatation_covers},3.0,26.22867,56.21586,163.0
104928,Abu baker alsedik basic school,AL khalidia,{dv_land_coversdv_vegatation_covers},3.0,26.23367,56.22392,164.0
105424,Abu baker alsedik basic school,al maziood farmer,{dv_land_coversdv_vegatation_covers},3.0,23.11219,56.1427,5.0
107060,Abu baker alsedik basic school,AL saiba 1,{dv_land_coversdv_vegatation_covers},3.0,26.11292,56.14314,0.0
107064,Abu baker alsedik basic school,Al saiba 2,{dv_land_coversdv_vegatation_covers},3.0,26.11267,56.14293,6.0
125906,Abu baker alsedik basic school,AL TAIB 2 FARMER,{dv_land_coversdv_vegatation_covers},3.0,26.11407,56.15145,3.0
186982,Abu baker alsedik basic school,bany  farmer,{dv_land_coversdv_vegatation_covers},2.0,26.11445,56.1459,3.0
104568,Abu baker alsedik basic school,Dabaa farmer,{dv_land_coversdv_vegatation_covers},4.0,25.52787,56.1552,2.0
106665,Abu baker alsedik basic school,KHASAB- GARDEN,{dv_land_coversdv_vegatation_covers},5.0,26.10463,56.14515,6.0
142772,Abu baker alsedik basic school,Sal - alla,{dv_land_coversdv_vegatation_covers},2.0,26.2227,56.21431,162.0
142773,Abu baker alsedik basic school,Sal - alla 2,{dv_land_coversdv_vegatation_covers},2.0,26.2236,56.21414,163.0
143612,Abu baker alsedik basic school,SEKETT ALSOQE2,{dv_land_coversdv_vegatation_covers},3.0,26.11381,56.14553,7.0
143611,Abu baker alsedik basic school,SEKKET AL SOOQ1,{dv_land_coversdv_vegatation_covers},2.0,26.11354,56.14561,8.0
142777,Abu baker alsedik basic school,Siba3,{dv_land_coversdv_vegatation_covers},2.0,26.11188,56.14323,5.0
142778,Abu baker alsedik basic school,SIBA 4,{dv_land_coversdv_vegatation_covers},2.0,26.14588,56.18523,5.0
111847,Abu baker alsedik basic school,Sikket elsoq farmer,{dv_land_coversdv_vegatation_covers},3.0,26.11258,56.14454,3.0
142776,Abu baker alsedik basic school,Sl alla 3,{dv_land_coversdv_vegatation_covers},3.0,26.33074,56.19523,162.0
118116,Abu baker alsedik basic school,SOBEET FARMER,{dv_land_coversdv_vegatation_covers},3.0,26.11179,56.14405,15.0
125819,Abu baker alsedik basic school,TAIB  FARMER,{dv_land_coversdv_vegatation_covers},3.0,26.11409,56.15152,3.0
24583,Academy of the Sacred Heart,Field area 3:LCS-01,{dv_land_coversdv_vegatation_covers},2.0,42.3444,-83.1344,303.7
19663,Acalanes High School,School Location:BIO-01,{dv_land_coversdv_vegatation_covers},2.0,37.9032,-122.0973,295.0
6810,A.E.S.Dr.DDM Sr. Sec. School,IN MAIN GROUND BEHIND THE STAGE:LCS-01,{dv_land_coversdv_vegatation_covers},2.0,28.6279,77.23913,213.0
26029,A.E. Stevenson School,STEVENSON:LCS-01,{dv_land_coversdv_vegatation_covers},2.0,40.8817,-74.3175,4.2
185243,AGA KHAN SCHOOL,42QWL709274,{dv_land_coversdv_vegatation_covers},2.0,22.85288,69.69107,16.9
185241,AGA KHAN SCHOOL,42QWL709275,{dv_land_coversdv_vegatation_covers},2.0,22.85379,69.69108,17.0
30416,Aikin Elementary New Caney,Dogwood Lane Right Next To Our School (NE):BIO-01,{dv_land_coversdv_vegatation_covers},2.0,30.1778,-95.1535,34.0
33178,Ain Jaloot basic school,land cover,{dv_land_coversdv_vegatation_covers},2.0,23.58339,57.05474,15.0
156997,A.I. Prince CTHS,MDC West Hartford,{dv_land_coversdv_vegatation_covers},2.0,41.74972,-72.7911,110.6
48257,Alemam ahmed bin said basic school,alqurm garden,{dv_land_coversdv_vegatation_covers},2.0,23.61583,58.48753,7.0
19925,Alexander Dawson School,Biology - Boulder Creek:BIO-02,{dv_land_coversdv_vegatation_covers},2.0,40.058,-105.1053,1504.0
19934,Alexander Dawson School,BOULDER CREEK AT RT.287:LCS-01,{dv_land_coversdv_vegatation_covers},2.0,40.058,-105.1053,1504.2
48252,Alfadal alhawari pasic school,ALQUARM BARK,{dv_land_coversdv_vegatation_covers},2.0,23.3657,58.2914,7.0
7089,Alftamyrarskoli,School Location:BIO-01,{dv_land_coversdv_vegatation_covers},3.0,64.1338,-21.8922,35.0
140006,Alhawary Mohammad Al-Azdy,gharbi farm,{dv_land_coversdv_vegatation_covers},6.0,22.82529,58.15918,540.0
127486,Alkamel Pasic School,AlKamil and AlWafi Garden,{dv_land_coversdv_vegatation_covers},8.0,22.19695,59.21802,170.0
139962,Alkamel Pasic School,Farm1,{dv_land_coversdv_vegatation_covers},5.0,22.15,59.1009,180.0
26083,Allentown High School,School Location:BIO-01,{dv_land_coversdv_vegatation_covers},2.0,40.1743,-74.5876,32.0
101402,Al-Matan Intermediate and Secondary Girls School at Sabya,Al_matan Intermediate and Secondary  school,{dv_land_coversdv_vegatation_covers},144.0,17.42996,42.54965,99.5
32313,Al Muabila Alshamaliah basic school,khoth park:LCS-01,{dv_land_coversdv_vegatation_covers},2.0,23.65,58.2,57.8
105632,Alsheefa bint awf basic school,Al khafiji,{dv_land_coversdv_vegatation_covers},2.0,23.0,58.0,5.0
102153,Althabti basic school,althabti garden,{dv_land_coversdv_vegatation_covers},2.0,22.43,58.32,473.0
105789,Althabti basic school,GARDEN,{dv_land_coversdv_vegatation_covers},3.0,22.43,58.32,415.0
8379,American Community School,Baabdat:LCS-26,{dv_land_coversdv_vegatation_covers},2.0,33.895,35.6648,755.9
8367,American Community School,Isolated Woodland near Urban Highway:LCS-04,{dv_land_coversdv_vegatation_covers},2.0,33.954,35.6654,539.9
8381,American Community School,Mansourieh ACS group:LCS-28,{dv_land_coversdv_vegatation_covers},2.0,33.895,35.6648,755.9
8380,American Community School,Roumy:LCS-27,{dv_land_coversdv_vegatation_covers},2.0,33.8882,35.5601,368.4
7185,Amman Baccalaureate School,DADA:LCS-03,{dv_land_coversdv_vegatation_covers},3.0,31.0,32.8,1096.0
7184,Amman Baccalaureate School,WADI SAQRA:LCS-01,{dv_land_coversdv_vegatation_covers},3.0,31.1111,32.1111,1093.3
4550,Ammansaari Ylaaste,School Location:BIO-01,{dv_land_coversdv_vegatation_covers},2.0,65.8767,28.9375,210.0
21450,Anita Elementary School,School Location:BIO-01,{dv_land_coversdv_vegatation_covers},2.0,41.4222,-94.78,484.0
4673,Apian Ylaaste,School Location:BIO-01,{dv_land_coversdv_vegatation_covers},4.0,61.2694,24.0194,88.0
21233,Appling County Middle School,School Location:BIO-01,{dv_land_coversdv_vegatation_covers},2.0,31.7781,-82.3486,49.0
155323,Argentina Citizen Science,21HUB292850,{dv_land_coversdv_vegatation_covers},6.0,-34.46243,-58.85955,23.3
150051,Argentina Citizen Science,21HUB399943,{dv_land_coversdv_vegatation_covers},7.0,-34.38032,-58.74136,11.8
46275,Arkansas GLOBE v-School,Inn at Carnall Hall - U Arkansas - Biometry Site,{dv_land_coversdv_vegatation_covers},10.0,36.06867,-94.16992,408.0
26837,Arlington High School,RLINGTON fOREST:LCS-08,{dv_land_coversdv_vegatation_covers},2.0,41.6833,-73.8,256.0
147758,Asia and Pacific GLOBE v-School,GlobeStudy site,{dv_land_coversdv_vegatation_covers},2.0,28.51742,77.39046,197.2
